Variant,N core rows,Equation,Horizon (days),Regressor,N,Date clusters,Beta,SE (cluster-by-date),p (cluster-by-date),SE (Driscoll-Kraay),p (Driscoll-Kraay),SE (month block bootstrap),Predicted sign (P1),Sign check
alt_D_winsor_mean,9415,outcome=L,1,D,9410,1882,0.0032183209088905472,0.006756377349574278,0.6338887484861243,0.0062208353483242055,0.6049758564944746,0.006205945529143323,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=L,1,L,9410,1882,-0.009091928958070516,0.002913427069229648,0.0018316259096258479,0.003183330943316475,0.004335809287606082,0.0033154593368072477,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=L,7,S,9380,1876,0.03690033672153463,0.011383799508069668,0.001209970485202355,0.014783414253020941,0.012643322131238494,0.012946449060688365,+,"MATCH (p<.05, DK)"
alt_D_winsor_mean,9415,outcome=L,7,D,9380,1876,-0.009957447297201615,0.008740722063945055,0.2547644658306171,0.012719506001442055,0.43381489277035323,0.013194528339431593,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=L,7,L,9380,1876,-0.01846542503464491,0.004190919829370894,1.1121791745729378e-05,0.007720547668711121,0.016867419368083697,0.009420405810559515,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=L,14,S,9345,1869,0.04746901585640294,0.014451764555346315,0.0010399666686818007,0.023556608806643047,0.044036767038597144,0.025846961365722794,+,"MATCH (p<.05, DK)"
alt_D_winsor_mean,9415,outcome=L,14,D,9345,1869,-0.01286762127136985,0.012332330918570606,0.2968955607848718,0.022859716304126556,0.5735738975800253,0.023967679125491713,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=L,14,L,9345,1869,-0.026822636359322614,0.005336922076320221,5.490543602377489e-07,0.01447104717752914,0.06396284719416354,0.015102132806122126,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=L,30,S,9265,1853,0.08397388741038575,0.015365594855159226,5.254313153696793e-08,0.03336391173280189,0.011922832423807248,0.03361846877810831,+,"MATCH (p<.05, DK)"
alt_D_winsor_mean,9415,outcome=L,30,D,9265,1853,-0.016768496728055457,0.012976977276303796,0.19645852685338802,0.033855503135563195,0.6204499233657258,0.032960891514403276,(no prior),n/a (no P1 prior)
