date,eth_usd,pool_depth_usd,gas_gwei_receipt,gas_gwei_basefee,gas_gwei
2021-10-03,3477.0190291528834,109217368.144551,,40.391745413,40.391745413
2021-10-15,3878.1050616105617,115302212.544021,,117.236526779,117.236526779
2021-10-27,4271.209523015738,106209722.965891,,141.65291233,141.65291233
2021-11-08,4802.49630400829,89617662.150864,,111.55776404,111.55776404
2021-11-20,4419.944205413394,119033238.79187,,99.792832319,99.792832319
2021-12-02,4580.843242363321,143587332.279548,,88.012519243,88.012519243
2021-12-14,3835.3013621952414,104667822.309385,,107.412804025,107.412804025
2021-12-26,4098.336603428419,117638971.843554,,40.834239671,40.834239671
2022-01-07,3362.2705281746194,105829889.258313,,116.500653728,116.500653728
2022-01-19,3178.184194292452,110893301.163478,,92.444343422,92.444343422
2022-01-31,2689.9546615532117,98116019.390893,,74.516120699,74.516120699
2022-02-12,2978.331768774346,113343657.850438,,146.839213014,146.839213014
2022-02-24,2567.7591812182905,101104061.664664,,89.074523015,89.074523015
2022-03-08,2597.16913524312,102180330.818305,,21.227662983,21.227662983
2022-03-20,2946.0393889483526,97194908.535484,,13.582047931,13.582047931
2022-04-01,3461.65072855339,104010640.088944,,44.008357938,44.008357938
2022-04-13,3119.207229748371,104694267.520861,,44.380860179,44.380860179
2022-04-25,3012.5548636135586,138551544.877013,,27.719056928,27.719056928
2022-05-07,2667.6844433998344,135005376.271499,,43.443452159,43.443452159
2022-05-19,1933.3375045894195,97034569.425005,,10.152310874,10.152310874
2022-05-31,1990.061644408102,84161634.928886,,52.987570737,52.987570737
2022-06-12,1535.9825853391073,72199264.495211,,22.024428101,22.024428101
2022-06-24,1232.7955965023916,56174273.100101,,25.780681026,25.780681026
2022-07-06,1188.9397424094154,49491908.245446,,53.47704965,53.47704965
2022-07-18,1584.9695094223607,61091571.415336,,35.250837223,35.250837223
2022-07-30,1737.7295840404179,60912527.991933,,6.054173972,6.054173972
2022-08-11,1899.3832440671192,62592670.497487,,21.216903178,21.216903178
2022-08-23,1628.1792967459826,57761225.109204,,17.304443066,17.304443066
2022-09-04,1575.5536394942035,54826843.201195,,5.822100145,5.822100145
2022-09-16,1477.9057248034073,51301887.480847,,4.615593537,4.615593537
2022-09-28,1349.7384107674768,51108108.601139,,11.062123673,11.062123673
2022-10-10,1334.8700543098641,47112416.300004,,32.826870441,32.826870441
2022-10-22,1316.1000729287744,44159166.855154,,14.875279002,14.875279002
2022-11-03,1551.5148814588767,47821924.754206,,18.920104047,18.920104047
2022-11-15,1274.9058089496002,44406941.652844,,12.750623129,12.750623129
2022-11-27,1218.7697484337127,42491097.650209,,8.412740037,8.412740037
2022-12-09,1282.997941912369,43593016.949715,,13.826970763,13.826970763
2022-12-21,1215.3013110274712,42154055.791575,,10.149613543,10.149613543
2023-01-02,1219.0342958660926,36887529.7444,,14.774196164,14.774196164
2023-01-14,1562.721823251256,47505139.582036,,23.220110056,23.220110056
2023-01-26,1626.2084744150293,50280427.630609,,15.724420771,15.724420771
2023-02-07,1674.7932890915165,45572049.648044,,37.812558874,37.812558874
2023-02-19,1709.493186126714,46161356.535244,,19.08981821,19.08981821
2023-03-03,1646.1592448467059,45409415.493118,,19.763651699,19.763651699
2023-03-15,1716.9336786491285,21890767.614459,,30.122761614,30.122761614
2023-03-27,1778.5660998799594,28555058.437779,,16.206540267,16.206540267
2023-04-08,1877.258846168151,35760786.737066,,18.61910302,18.61910302
2023-04-20,1973.2932104507465,36289874.93221,,62.995572202,62.995572202
2023-05-02,1875.4618901960673,36385986.240204,,96.509814133,96.509814133
2023-05-14,1818.6159634878886,29979255.78118,,40.89641138,40.89641138
2023-05-26,1841.3151587431764,30324648.75594,,33.221196872,33.221196872
2023-06-07,1889.2130859832507,30478366.839609,,18.943324205,18.943324205
2023-06-19,1736.7138767367921,28990929.916802,,15.190075346,15.190075346
2023-07-01,1937.6186969153105,29646296.934195,,13.774783273,13.774783273
2023-07-13,2001.8525526544054,30385064.447223,,21.604647617,21.604647617
2023-07-25,1865.3716096790083,32088067.852285,,51.877393737,51.877393737
2023-08-06,1839.5685655153293,31902347.472808,,12.138416273,12.138416273
2023-08-18,1695.252885235465,30183526.487498,,20.714288448,20.714288448
2023-08-30,1727.192101988819,30543183.937207,,22.236157285,22.236157285
2023-09-11,1614.9001069800495,32832770.777905,,11.904818243,11.904818243
2023-09-23,1596.1461835469356,35867468.760242,,6.682917536,6.682917536
2023-10-05,1650.446474993378,35243181.366576,,6.15691286,6.15691286
2023-10-17,1597.5494391637994,34199989.733364,,13.957806789,13.957806789
2023-10-29,1794.3889207915115,33449398.714081,,17.306049876,17.306049876
2023-11-10,2129.5852907272993,36814266.325252,,30.128081532,30.128081532
2023-11-22,2080.259536674019,36508292.39076,,46.741922272,46.741922272
2023-12-04,2265.314098732592,44977833.361873,,50.579408084,50.579408084
2023-12-16,2259.039621628091,57156694.59523,,36.847190129,36.847190129
2023-12-28,2425.2571707569996,64599151.672428,,27.874615377,27.874615377
2024-01-09,2339.127152813482,68356901.521737,,12.448225123,12.448225123
2024-01-21,2479.511277370978,82662926.33366,,22.050891604,22.050891604
2024-02-02,2314.7653700131063,79698487.869164,,19.468949849,19.468949849
2024-02-14,2782.604362746875,86800758.314729,,20.390707134,20.390707134
2024-02-26,3183.8844249681315,79880407.751313,,26.206123011,26.206123011
2024-03-09,3934.860500892748,64977774.143402,,56.822383139,56.822383139
2024-03-21,3543.5771360184453,80887714.760057,,23.42602852,23.42602852
2024-04-02,3489.299431257237,73731591.482846,,17.858753337,17.858753337
2024-04-14,3161.8705113119713,70789700.460528,,11.95910115,11.95910115
2024-04-26,3155.0493714290865,70954230.05707,,6.098007228,6.098007228
2024-05-08,3026.2472453889395,69760505.785614,,4.178454934,4.178454934
2024-05-20,3444.946968589559,67405953.05904,,17.341513775,17.341513775
2024-06-01,3825.3361751846714,58192938.172391,,5.790044337,5.790044337
2024-06-13,3551.1042895585524,61380478.655489,,12.710026957,12.710026957
2024-06-25,3423.9426051849246,60522916.262137,,4.131044314,4.131044314
2024-07-07,3065.0528733973547,57360417.542021,,1.365795925,1.365795925
2024-07-19,3520.2741512270295,61619357.046861,,5.389102534,5.389102534
2024-07-31,3334.9465982384304,59828925.764703,,4.076355877,4.076355877
2024-08-12,2729.718771305461,60868241.210323,,3.397759883,3.397759883
2024-08-24,2806.30038779996,61806356.162817,,1.359323658,1.359323658
2024-09-05,2458.643902592824,57951724.938419,,30.887181236,30.887181236
2024-09-17,2380.4975980792037,63144742.559426,,6.292413536,6.292413536
2024-09-29,2677.540887296325,66936925.709933,,9.045791036,9.045791036
2024-10-11,2461.636335574448,64285008.373425,,11.492062896,11.492062896
2024-10-23,2620.178609152656,55623939.578886,,6.534736544,6.534736544
2024-11-04,2480.288996421228,54219969.120894,,4.207986705,4.207986705
2024-11-16,3185.44832009568,46991742.159911,,12.658898359,12.658898359
2024-11-28,3650.011235967662,44961849.190482,,9.446741203,9.446741203
2024-12-10,3769.808882673323,45803030.765729,,15.152168943,15.152168943
2024-12-22,3392.9709827745273,34937620.064819,,7.041678084,7.041678084
2025-01-03,3620.3041772396427,36152540.996931,,7.952725558,7.952725558
2025-01-15,3448.1266230602037,42935828.352013,,11.796098892,11.796098892
2025-01-27,3220.0088743427777,47051394.518797,,5.929009353,5.929009353
2025-02-08,2647.8830050450592,23985971.68481,,0.920343313,0.920343313
2025-02-20,2753.493439442243,24504822.776268,,0.673971416,0.673971416
2025-03-04,2181.0012863430775,10773777.951871,,0.662249179,0.662249179
2025-03-16,1938.1454968143933,9769655.738871,,0.494341474,0.494341474
2025-03-28,2011.5778961609637,9977493.746934,,0.382548273,0.382548273
2025-04-09,1673.3684516312003,9165666.385447,,0.418308081,0.418308081
2025-04-21,1652.0190882530007,9346303.721301,,0.443487709,0.443487709
2025-05-03,1845.7901078180896,9842000.062365,,0.408577756,0.408577756
2025-05-15,2637.5073880594277,27580071.25695,,0.729514712,0.729514712
2025-05-27,2703.6900248565216,23337655.714543,,2.663626145,2.663626145
2025-06-08,2523.0990609464357,20227437.908301,,1.279231106,1.279231106
2025-06-20,2553.307702893597,17596622.562818,,1.838284577,1.838284577
2025-07-02,2602.1693992984356,17781844.770196,,0.865326115,0.865326115
2025-07-14,3071.5741987836227,15216864.161151,,11.055917997,11.055917997
2025-07-26,3770.615656534334,26625451.81363,,0.203732126,0.203732126
2025-08-07,3914.0795480147417,27395719.940689,,0.146861682,0.146861682
2025-08-19,4329.1274937556345,28871659.500576,,0.24149977,0.24149977
2025-08-31,4482.3632014674395,39685230.06704,,0.145943152,0.145943152
2025-09-12,4704.671907114714,46553396.781741,,0.87489954,0.87489954
2025-09-24,4193.499875509229,45339854.848153,,0.433811063,0.433811063
2025-10-06,4718.047978609363,47889148.789236,,0.117438543,0.117438543
2025-10-18,3896.6532021606954,25499928.781144,,0.12350878,0.12350878
2025-10-30,3936.841302656065,25463020.255952,,0.156867824,0.156867824
2025-11-11,3615.1197716186066,11983122.43292,,0.259740404,0.259740404
2025-11-23,2836.253051260452,10670161.881274,,0.100553253,0.100553253
2025-12-05,3180.16488886128,11286499.314649,,0.018953643,0.018953643
2025-12-17,2984.697322804318,10940202.911524,,0.026322683,0.026322683
2025-12-29,3045.4031484139146,11062430.872069,,0.042967681,0.042967681
2026-01-10,3100.3732033817982,11234900.305677,,0.032253786,0.032253786
2026-01-22,3023.535667609968,11106024.422532,,0.152563211,0.152563211
2026-02-03,2347.2839992314325,9775497.806469,,0.240224376,0.240224376
2026-02-15,2094.7871325547553,9269876.115454,,0.035549974,0.035549974
2026-02-27,2047.7453151171828,9147238.568945,,0.284728587,0.284728587
2026-03-11,2073.374245271344,9320875.798075,,0.114074686,0.114074686
2026-03-23,2180.059144194755,9560788.452851,,0.055834315,0.055834315
2026-04-04,2070.0281357287986,9315218.605576,,0.097044646,0.097044646
2026-04-16,2347.513617521647,9778327.306789,,0.048213261,0.048213261
2026-04-28,2304.039928334187,9645353.881379,,0.309152266,0.309152266
2026-05-10,2374.046524358794,9823888.382496,,0.623874657,0.623874657
2026-05-22,2140.252984100404,9333215.909377,,0.063065598,0.063065598
2026-06-03,1885.3599909197649,8763321.551453,,0.12992914,0.12992914
2026-06-15,1842.5183808473423,8682830.780927,,0.056590484,0.056590484
2026-06-27,1604.2276479395143,8097536.751015,,0.089418298,0.089418298
