date,legs,routes,single_leg_routes,multi_leg_routes,round_trip_routes,economic_multileg_routes,cross_venue_routes,cross_venue_share,cross_venue_usd_share,cross_venue_share_unfiltered,cross_venue_usd_share_unfiltered,round_trip_share_of_multileg,round_trip_usd_share_of_multileg,economic_multileg_usd,cross_venue_usd,total_usd,venues_active
2023-01-15,153262,116262,89322,26940,3989,22951,5388,0.23476101259204393,0.4486418474558117,0.29528582034149964,0.6022869317139061,0.14806978470675575,0.29673669073402525,177735983.75682062,79739800.11203614,1199283468.8305511,5
2023-01-16,164092,126463,98276,28187,3011,25176,5232,0.20781696854146806,0.47047250518089306,0.26026182282612553,0.6146854581348064,0.10682229396530316,0.36181439044175334,206804526.1095397,97295843.48150255,1318317748.174243,5
2023-01-17,149594,114621,87841,26780,2672,24108,4590,0.19039323046291687,0.4079474062800138,0.2380134428678118,0.44715255152531314,0.09977595220313668,0.29864303059005715,191330193.0111459,78052655.98195139,1235820992.929905,5
2023-01-18,165213,124821,94565,30256,3566,26690,5152,0.19303109778943425,0.49567451050880285,0.24798387096774194,0.5664150874315729,0.1178609201480698,0.2675416896358713,307838388.0819311,152587642.3283301,1973523209.7410586,5
2023-01-19,138910,106639,82059,24580,2841,21739,4166,0.19163714982289895,0.510511767228944,0.24104963384865744,0.5860425819627052,0.11558177379983726,0.2780542287824655,154521046.59532577,78884812.57144575,1157385352.6356633,5
2023-01-20,145064,111770,86735,25035,2892,22143,4655,0.21022445016483765,0.3799119635902819,0.25943678849610546,0.57321290379591,0.11551827441581786,0.3869308902808139,167900062.88534504,63787242.577703245,1266744731.9436874,5
2023-01-21,158141,121956,95514,26442,3464,22978,5142,0.22377926712507615,0.5890785189475671,0.27959307162846986,0.6355542680037185,0.13100370622494517,0.2629051484426876,260591675.44188753,153508958.2193722,1480632347.7922475,5
2023-01-22,144231,111048,87278,23770,3223,20547,4710,0.22923054460505182,0.4978238770228923,0.29625578460244006,0.6015599405914047,0.13559108119478333,0.2832348970495873,193241412.26966244,96200189.05746247,1100264817.9828136,5
2023-01-23,150536,116916,91846,25070,3094,21976,4783,0.21764652348016017,0.5441003660931307,0.2818109293976865,0.5941616898243285,0.12341443956920622,0.27921266653812243,222345765.97672597,120978412.66719417,1338679737.6505513,5
2023-01-24,161721,123402,95234,28168,3647,24521,5834,0.23791851882060275,0.5644434674463449,0.30289690428855437,0.6482085260808031,0.12947316103379722,0.2407423566220313,282382255.5300966,159388819.4567275,1508034997.6046724,5
2023-01-25,158194,122354,96165,26189,3102,23087,4853,0.21020487720362108,0.6152004137618745,0.269693382717935,0.6447224976160844,0.11844667608537936,0.2549661646284476,318519562.55397904,195953366.67445916,1756674131.250622,5
2023-01-26,155037,120695,94634,26061,2803,23258,4977,0.21399088485682347,0.5480774094746413,0.2702121944668278,0.6377333661988305,0.10755535090748629,0.27812994931015617,186248163.23118305,102078410.82315695,1225729899.516203,5
2023-01-27,146385,114721,90752,23969,2808,21161,4498,0.21256084306034687,0.5491289485580192,0.2682631732654679,0.5253504499169362,0.11715132045558847,0.21597721910194745,262797669.01229918,144309807.6682222,1423232304.955169,5
2023-01-28,153156,118184,92050,26134,3170,22964,4800,0.20902281832433375,0.5776839679636666,0.2595086860029081,0.6255058115253858,0.12129792607331445,0.30887435267260427,155181636.93857384,89645943.78177243,887505094.1348854,5
2023-01-29,159278,123030,95527,27503,2916,24587,5414,0.22019766543295238,0.511809721336158,0.2653165109260808,0.635476516117623,0.10602479729484056,0.36792602305303723,143828178.04324904,73612659.72460261,983839401.0920074,5
2023-01-30,176427,135394,104807,30587,3168,27419,5724,0.20876034866333565,0.47284371411168286,0.2585085166900971,0.5614459989278425,0.10357341354170073,0.22621857228109357,233518573.1862591,110417789.45945159,1265444200.5077279,5
2023-01-31,153957,120703,94471,26232,2249,23983,4602,0.19188591919276154,0.5394029495205278,0.23520890515401036,0.5480555773466617,0.08573498017688319,0.15346981712269875,221737928.1711372,119606092.47608234,993332652.8326168,5
2023-02-01,187486,144755,111069,33686,3622,30064,5997,0.1994744544970729,0.4111393807911401,0.2526568901027133,0.5713641318842058,0.10752241287181619,0.3436718230202295,215316104.27315545,88524929.78522569,1333304970.390142,5
2023-02-02,214922,164794,126208,38586,3824,34762,7131,0.20513779414302974,0.3859042388441765,0.2528378168247551,0.4818435848487756,0.09910330171564816,0.2638500663333394,357468680.52761096,137948679.0696398,1677308525.1074345,5
2023-02-03,212595,168049,132716,35333,2711,32622,5485,0.16813806633560174,0.4367620483732083,0.20898310361418504,0.5436296631758029,0.07672713893527297,0.28773627278300523,271939852.59606856,118773007.05416724,1348629330.3829072,5
2023-02-04,198789,153876,118600,35276,2924,32352,5824,0.18001978239366964,0.4171352852676373,0.2222757682276902,0.5232085834226445,0.08288921646445176,0.22283769945292345,154672799.30735523,64519482.26221764,876865128.7810009,5
2023-02-05,198742,155897,121762,34135,3013,31122,6531,0.20985155195681512,0.4345481002696042,0.255485571993555,0.570688093468995,0.08826717445437235,0.26291740476622516,208634933.9672491,90661914.20534241,1136237730.8119113,5
2023-02-06,213457,166718,130121,36597,3246,33351,6721,0.20152319270786484,0.4647426587465298,0.24635899117413995,0.6086091551145559,0.08869579473727354,0.323715043299712,249283503.63963372,115852678.26313362,1211926494.1690507,5
2023-02-07,239731,183752,139420,44332,3807,40525,8901,0.2196421961752005,0.4917527914962587,0.2618650184967969,0.5634518739397384,0.08587476315077146,0.35755049270746786,258151692.43903488,126946815.38637903,1688139518.2788646,5
